compound_id,smiles_raw,nan,iupac_name,for reference --> (before cleansed),tabular IUPAC (unformatted),flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,provenance_file,provenance_sheet,provenance_row
17,CC(=O)/C1=C(\S(=O)C2=CC=C(Br)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-2-((4-bromophenyl)sulfinyl)-5-chloroquinolin-4(1H)-one,nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,19
18,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C(C)=O,nan,"1,1'-(8-bromo-5-chloro-2-(methylthio)-4-oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",nan,"1,1'-(8-bromo-5-chloro-2-(methylthio)-4- oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,20
19,CC(=O)/C1=C(\S(C)=O)N(C(C)=O)C2=C(Br)C=CC(Cl)=C2C1=O,nan,"1,1'-(8-bromo-5-chloro-2-(methylsulfinyl)-4-oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",nan,"1,1'-(8-bromo-5-chloro-2-(methylsulfinyl)-4- oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,21
20,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-2-(benzylsulfinyl)-8-bromo-1-(4-bromobenzoyl)-5-chloroquinolin-4(1H)-one,nan,3-acetyl-2-(benzylsulfinyl)-8-bromo-1-(4- bromobenzoyl)-5-chloroquinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,22
21,CC(=O)/C1=C(\S(C)(=O)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2- (methylsulfonyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,23
22,CC(=O)/C1=C(\S(C)=O)N(CC2=CC(Cl)=C(F)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4-fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4- fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,24
23,CC(=O)/C1=C(\SCC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-2-(benzylthio)-8-bromo-1-(4-bromobenzoyl)-5-chloroquinolin-4(1H)-one,nan,3-acetyl-2-(benzylthio)-8-bromo-1-(4- bromobenzoyl)-5-chloroquinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,25
24,CC(=O)/C1=C(\SC(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-(isopropylthio)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2- (isopropylthio)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,26
25,CC(=O)/C1=C(\S(=O)C(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-(isopropylsulfinyl)quinolin-4(1H)-one,nan,nan,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,27
26,CC(=O)/C1=C(\S(=O)C(C)C2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,nan,3-acetyl-8-bromo-5-chloro-2-((1-phenylethyl)sulfinyl)quinolin-4(1H)-one,nan,3-acetyl-8-bromo-5-chloro-2-((1- phenylethyl)sulfinyl)quinolin-4(1H)-one,False,False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표3,28
