sample_id,solub_pH2_grade,solub_pH7_grade,provenance_file,provenance_sheet,provenance_row
118,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,121
119,+,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,122
120,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,123
121,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,124
122,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,125
123,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,126
124,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,127
125,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,128
126,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,129
127,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,130
128,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,131
129,++,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,132
130,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,133
131,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,134
132,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,135
133,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,136
134,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,137
135,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,138
136,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,139
137,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,140
138,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,141
139,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,142
140,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,143
141,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,144
142,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,145
143,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,146
144,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,147
145,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,148
146,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,149
147,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,150
148,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,151
149,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,152
150,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,153
151,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,154
152,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,155
153,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,156
154,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,157
155,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,158
156,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,159
157,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,160
158,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,161
159,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,162
160,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,163
161,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,164
162,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,165
163,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,166
164,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,167
165,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,168
166,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,169
167,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,170
168,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,171
169,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,172
170,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,173
171,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,174
172,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,175
173,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,176
174,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,177
175,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,178
176,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,179
177,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,180
178,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,181
179,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,182
180,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,183
181,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,184
182,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,185
183,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,186
184,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,187
185,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,188
186,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,189
187,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,190
188,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,191
189,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,192
190,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,193
191,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,194
192,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,195
193,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,196
194,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,197
195,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,198
196,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,199
197,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,200
198,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,201
199,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,202
200,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,203
201,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,204
202,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,205
203,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,206
204,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,207
205,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,208
206,++,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,209
207,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,210
208,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,211
209,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,212
210,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,213
211,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,214
212,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,215
213,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,216
214,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,217
215,++,++,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,218
216,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,219
217,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,220
218,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,221
219,+,+,data/bronze/artifacts/2020_raw.xlsx,Table 6 ~ 7,222
