sample_label,smiles_raw,usp1_ic50_grade,provenance_file,provenance_sheet,provenance_row
Compound Structure 109,COC1=C(C2=NC=C3C(=N2)N([C@@H](C)C2=CC=C(C4=NC(C(F)(F)F)=CN4C(C)C)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,115
Compound Structure 110,CCOC1=NN(CC2=CC=C(C3=NC(C(F)(F)F)=CN3CC)C=C2)/C2=N/C(C3=C(OCC)N=CN=C3C3CC3)=N/C=C\12,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,116
Compound Structure 111,CCO/C1=N/N(CC2=CC=C(C3=NC(C(F)(F)F)=CN3CC)C=C2)C2=NC(C3=C(OC)N=CN=C3C3CC3)=NC=C21,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,117
Compound Structure 112,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/OC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1F,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,118
Compound Structure 113,COC1=C(C2=N/C=C3\N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,119
Compound Structure 114,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/OC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,120
Compound Structure 115,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/OC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,121
Compound Structure 116,COC1=C(C2=N/C=C3/N=C(C)N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,122
Compound Structure 117,COC1=C(C2=NC=C3/N=C(/C4CC4)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,123
Compound Structure 118,COC1=C(C2=NC=C3/N=C(/C4CCC4)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,124
Compound Structure 119,COC1=C(C2=N/C=C3/N=C(C(C)C)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,125
Compound Structure 120,CCC1=NC2=C/N=C(C3=C(OC)N=CN=C3C3CC3)\N=C\2N1CC1=CC=C(N2N=C(C(F)(F)F)C=C2C)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,126
Compound Structure 121,COC1=C(C2=N/C=C3/C=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,127
Compound Structure 122,COC1=C(C2=N/C=C3/N=C(C)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,128
Compound Structure 123,COC1=C(C2=N/C=C3/N=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,129
Compound Structure 124,COC1=C(C2=N/C=C3\N=CN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,130
Compound Structure 125,COC1=C(C2=N/C=C3/N=CN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,131
Compound Structure 126,COC1=C(C2=N/C=C3/N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,132
Compound Structure 127,CC(C)C1=C(C2=N/C=C3/N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,133
