sample_label,smiles_raw,usp1_ic50_grade,provenance_file,provenance_sheet,provenance_row
Compound Structure 26,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC(F)F)N=CN=C4C4CC4)N=C32)C=C1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,30
Compound Structure 27,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CCC5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,31
Compound Structure 28,CCOC1=NC=NC(OCC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4CC)C=C3)C2=N1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,32
Compound Structure 29,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C)C=NN4C(C)C)N=C32)C=C1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,33
Compound Structure 30,CCOC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,34
Compound Structure 31,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=CN(C)C(C(F)(F)F)=N5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,35
Compound Structure 32,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,36
Compound Structure 33,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,37
Compound Structure 34,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CC5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,38
Compound Structure 35,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC(C)(C)C)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,39
Compound Structure 36,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OCCF)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,40
Compound Structure 37,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@@H](C)N2N=CC3=C/N=C(C4=C(OC)N=CN=C4C4CCC4)\N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,41
Compound Structure 38,COC1=C(C2=N/C=C3/C=NN([C@@H](C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,42
Compound Structure 39,N1(C2C(C=N1)=CN=C(C1C(C3CC3)=NC=NC=1OC(*)(*)*)N=2)CC1=CC=C(C2N(C=C(C(F)(F)F)N=2)CC)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,43
Compound Structure 40,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,44
Compound Structure 41,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C(F)=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,45
Compound Structure 42,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,46
Compound Structure 43,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CCC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,47
Compound Structure 44,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CCC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,48
Compound Structure 45,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC5CC5)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,49
Compound Structure 46,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2N=CC3=C/N=C(C4=C(OC)N=CN=C4C4CC4)\N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,50
Compound Structure 47,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC5CCC5)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,51
Compound Structure 48,[2H]C([2H])([2H])N1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OC)N=CN=C4C4CC4)\N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,52
Compound Structure 49,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C#N)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,53
Compound Structure 50,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4OC)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,54
Compound Structure 51,CC(C)OC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,55
Compound Structure 52,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C(C)(C)C)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,56
Compound Structure 53,COC1=C(C2=N/C=C3/C=NN(CC4=C(F)C=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,57
Compound Structure 54,COC1=C(C2=N/C=C3/C=NN([C@H](C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,58
Compound Structure 55,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC(C)=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,59
Compound Structure 56,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)C=NN4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,60
Compound Structure 57,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)F)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,61
Compound Structure 58,CCOC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,62
Compound Structure 59,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5CCF)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,63
Compound Structure 60,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,64
Compound Structure 61,COC1=NC=NC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,65
Compound Structure 62,CCN1C=C(C(F)(F)F)N=C1C1=NC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,66
Compound Structure 63,COC1=CC(C(F)(F)F)=NN1C1=NC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,67
Compound Structure 64,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2(C)CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,68
Compound Structure 65,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5COC5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,69
Compound Structure 66,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C5CC5)C=NN4CC)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,70
Compound Structure 67,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C(C)(C)F)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,71
Compound Structure 68,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(/C5=N/C(C(F)(F)F)=C6/CNCCN56)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,72
Compound Structure 69,COC1=NC=NC(C2CC2)=C1C1=N/C2=C(C=NN2CC2=CC=C(N3N=C(C#N)C=C3C)C=C2)/C=N\1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,73
Compound Structure 70,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CN(C)C5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,74
Compound Structure 71,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CN=C4C)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,75
Compound Structure 72,CNC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,76
Compound Structure 73,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NN(C)C(C(F)(F)F)=N5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,77
Compound Structure 74,CSC1=NC=NC(C)=C1C1=N/C2=C(C=NN2CC2=CC=C(N3N=C(C(F)(F)F)C=C3C)C=C2)/C=N\1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,78
Compound Structure 75,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C)N=C32)C=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,79
