Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
21.0,CC(=O)/C1=C(\S(C)(=O)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2- (methylsulfonyl)quinolin-4(1H)-one,
22.0,CC(=O)/C1=C(\S(C)=O)N(CC2=CC(Cl)=C(F)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4-fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4- fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,
23.0,CC(=O)/C1=C(\SCC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-(benzylthio)-8-bromo-1-(4-bromobenzoyl)-5-chloroquinolin-4(1H)-one,,3-acetyl-2-(benzylthio)-8-bromo-1-(4- bromobenzoyl)-5-chloroquinolin-4(1H)-one,
24.0,CC(=O)/C1=C(\SC(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(isopropylthio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2- (isopropylthio)quinolin-4(1H)-one,
25.0,CC(=O)/C1=C(\S(=O)C(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(isopropylsulfinyl)quinolin-4(1H)-one,,,
26.0,CC(=O)/C1=C(\S(=O)C(C)C2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((1-phenylethyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((1- phenylethyl)sulfinyl)quinolin-4(1H)-one,
27.0,CC(=O)/C1=C(\SCC2=CC=CC(C#N)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)thio)methyl)benzonitrile",,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)thio)methyl)benzonitrile",
28.0,CC(=O)/C1=C(\S(=O)CC2=CC=CC(C#N)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",
29.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(F)C=C2F)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-((2,4-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-((2,4- difluorobenzyl)sulfinyl)quinolin-4(1H)-one",
30.0,CC(=O)/C1=C(\SCC2=CC=C(F)C(Cl)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4-fluorobenzyl)thio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4- fluorobenzyl)thio)quinolin-4(1H)-one,
31.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(F)C(Cl)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4- fluorobenzyl)sulfinyl)quinolin-4(1H)-one,
32.0,CC(=O)/C1=C(\SCC2=CC=C(N(O)=O)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)thio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4- nitrobenzyl)thio)quinolin-4(1H)-one,
33.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(N(O)=O)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4- nitrobenzyl)sulfinyl)quinolin-4(1H)-one,
34.0,CC(=O)/C1=C(\S(=O)(=O)CC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-(benzylsulfonyl)-8-bromo-5-chloroquinolin-4(1H)-one,,,
35.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(C)(=O)=O,,3-acetyl-8-bromo-5-chloro-1-(methylsulfonyl)-2-(methylthio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-1-(methylsulfonyl)-2- (methylthio)quinolin-4(1H)-one,
