Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
72.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)O2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(((5-(trifluoromethyl)furan-2-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(((5- (trifluoromethyl)furan-2- yl)methyl)sulfinyl)quinolin-4(1H)-one,
73.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C#N)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"4-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",,,
74.0,CC(=O)/C1=C(\S(=O)CC2=C(F)C=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((2-chloro-6-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((2-chloro-6- fluorobenzyl)sulfinyl)quinolin-4(1H)-one,
75.0,O=S(C1=C(C(=O)C2C(=C(Br)C=CC=2Cl)N1)C(=O)C)CC1=CC=C(C=C1OC)[S](F)(F)(F)(F)F,,3-acetyl-8-bromo-5-chloro-2-((2-methoxy-4-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((2-methoxy-4- (pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin- 4(1H)-one,
76.0,ClC1=CC(Br)=C2C(=C1)C(=O)C(=C(S(=O)CC3=CC(F)=CC(=C3)[S](F)(F)(F)(F)F)N2)C(=O)C,,3-acetyl-8-bromo-5-chloro-2-((3-fluoro-5-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3-fluoro-5- (pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin- 4(1H)-one,
77.0,ClC1=CC(Br)=C2C(=C1)C(=O)C(=C(S(=O)CC3=CC(F)=CC(=C3)[S](F)(F)(F)(F)F)N2)C(=O)C,,3-acetyl-8-bromo-5-chloro-2-((3-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((3-(pentafluoro-- sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,
78.0,CC(=O)/C1=C(\S(=O)CC2=C(F)C(F)=C(F)C(F)=C2F)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(((perfluorophenyl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2- (((perfluorophenyl)methyl)sulfinyl)quinolin-4(1H)- one,
79.0,O=S(C1=C(C(=O)C)C(=O)C2C(=C(Cl)C=CC=2Cl)N1)CC1=CC=C(C=C1)SC(F)(F)F,,"3-acetyl-5,8-dichloro-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-dichloro-2-((4- ((trifluoromethyl)thio)benzyl)sulfinyl)quinolin- 4(1H)-one",
80.0,O=C1C2C(=C(F)C=CC=2F)NC(=C1C(=O)C)S(=O)CC1=CC=C(C=C1)[S](F)(F)(F)(F)F,,"3-acetyl-5,8-difluoro-2-((4-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-difluoro-2-((4-(pentafluoro-- sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one",
81.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)O2)NC2=C(F)C=CC(F)=C2C1=O,,"3-acetyl-5,8-difluoro-2-(((5-(trifluoromethyl)furan-2-yl)methyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-difluoro-2-(((5- (trifluoromethyl)furan-2- yl)methyl)sulfinyl)quinolin-4(1H)-one",
82.0,CC(=O)/C1=C(\S(=O)CC2=NOC(C)=C2)NC2=C(F)C=CC(F)=C2C1=O,,"3-acetyl-5,8-difluoro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",,,
83.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(I)C=C2)NC2=C(Cl)C=CC(Cl)=C2C1=O,,"3-acetyl-5,8-dichloro-2-((4-iodobenzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-5,8-dichloro-2-((4- iodobenzyl)sulfinyl)quinolin-4(1H)-one",
84.0,CC(=O)/C1=C(\S(=O)CC2=CC=CN=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((pyridin-3-ylmethyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((pyridin-3- ylmethyl)sulfinyl)quinolin-4(1H)-one,
85.0,O=C(C(C)C)C1=C(S(=O)CC2=CC=C(C=C2)SC(F)(F)(F))NC3C(=C(F)C=CC=3F)C1=O,,"5,8-difluoro-3-isobutyryl-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one",,"5,8-difluoro-3-isobutyryl-2-((4- ((trifluoromethyl)thio)benzyl)sulfinyl)quinolin- 4(1H)-one",
86.0,CC1=CC(CS(=O)/C2=C(\C(=O)C(C)C)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,,"5,8-dichloro-3-isobutyryl-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",,"5,8-dichloro-3-isobutyryl-2-(((5-methylisoxazol-3- yl)methyl)sulfinyl)quinolin-4(1H)-one",
87.0,O=C1C2C(=C(F)C=CC=2F)NC(=C1C(=O)C1C=CC=CC=1)S(=O)CC1=CC=C(C=C1)[S](F)(F)(F)(F)F,,"3-benzoyl-5,8-difluoro-2-((4-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one",,"3-benzoyl-5,8-difluoro-2-((4-(pentafluoro-- sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one",
88.0,CC1=CC(CS(=O)/C2=C(\C(=O)C3=CC=CC=C3)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,,"3-benzoyl-5,8-dichloro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",,"3-benzoyl-5,8-dichloro-2-(((5-methylisoxazol-3- yl)methyl)sulfinyl)quinolin-4(1H)-one",
89.0,COC(=O)C1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)O1,,"methyl5-(((3-acetyl-5,8-dichloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)furan-2-carboxylate",,"methyl5-(((3-acetyl-5,8-dichloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)furan-2- carboxylate",
90.0,CC(=O)/C1=C(\S(=O)CN2C(=O)C3=C(C=CC=C3)C2=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,,"2-(((3-acetyl-5,8-dichloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)isoindoline-1,3-dione",,"2-(((3-acetyl-5,8-dichloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)isoindoline- 1,3-dione",
91.0,COC(=O)C1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)C=C1,,"methyl4-(((3-acetyl-5,8-dichloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzoate",,,
92.0,O=C1C2C(=CC=CC=2OC)NC(=C1C(=O)C)SCC3=CC=C(C=C3)[S](F)(F)(F)(F)F,,3-acetyl-5-methoxy-2-((4-(pentafluoro--sulfanyl)benzyl)thio)quinolin-4(1H)-one,,3-acetyl-5-methoxy-2-((4-(pentafluoro-- sulfanyl)benzyl)thio)quinolin-4(1H)-one,
93.0,O=C(C)C1=C(S(=O)CC3=CC=C(C=C3)[S](F)(F)(F)(F)F)NC2C(C1=O)=C(OC)C=CC=2,,3-acetyl-5-methoxy-2-((4-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-5-methoxy-2-((4-(pentafluoro-- sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,
94.0,COC1=C2C(=O)/C(C(C)=O)=C(/S(=O)CC3=NOC(C)=C3)NC2=CC=C1,,3-acetyl-5-methoxy-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-5-methoxy-2-(((5-methylisoxazol-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,
95.0,CC1=CC(CS(=O)/C2=C(\C(=O)C(C)C)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=NO1,,8-bromo-5-chloro-3-isobutyryl-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,8-bromo-5-chloro-3-isobutyryl-2-(((5- methylisoxazol-3-yl)methyl)sulfinyl)quinolin- 4(1H)-one,
96.0,CC1=CC(CS(=O)/C2=C(\C(=O)C3CC3)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=NO1,,8-bromo-5-chloro-3-(cyclopropanecarbonyl)-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,8-bromo-5-chloro-3-(cyclopropanecarbonyl)-2-(((5- methylisoxazol-3-yl)methyl)sulfinyl)quinolin- 4(1H)-one,
97.0,CC1=CC(CS(=O)/C2=C(\C(=O)C3CC3)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,,"5,8-dichloro-3-(cyclopropanecarbonyl)-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",,"5,8-dichloro-3-(cyclopropanecarbonyl)-2-(((5- methylisoxazol-3-yl)methyl)sulfinyl)quinolin- 4(1H)-one",
98.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C#N)S2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"5-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)thiophene-2-carbonitrile",,"5-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)methyl)thiophene-2- carbonitrile",
99.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(N3C=CC=N3)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,2-(((6-(1H-pyrazol-1-yl)pyridin-3-yl)methyl)sulfinyl)-3-acetyl-8-bromo-5-chloroquinolin-4(1H)-one,,2-(((6-(1H-pyrazol-1-yl)pyridin-3- yl)methyl)sulfinyl)-3-acetyl-8-bromo-5- chloroquinolin-4(1H)-one,
100.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(N)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-(((6-aminopyridin-3-yl)methyl)sulfinyl)-8-bromo-5-chloroquinolin-4(1H)-one,,,
101.0,ClC1=C2C(NC(=C(C(=O)C3CC3)C2=O)S(=O)CC4=CC=C(C=C4)SC(F)(F)F)=C(Br)C=C1,,8-bromo-5-chloro-3-(cyclopropanecarbonyl)-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one,,8-bromo-5-chloro-3-(cyclopropanecarbonyl)-2-((4- ((trifluoromethyl)thio)benzyl)sulfinyl)quinolin- 4(1H)-one,
102.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)N=C2C)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(((2-methyl-6-(trifluoromethyl)pyridin-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(((2-methyl-6- (trifluoromethyl)pyridin-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,
103.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(NS(C)(=O)=O)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"N-(4-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)phenyl)methanesulfonamide",,"N-(4-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2- yl)sulfinyl)methyl)phenyl)methanesulfonamide",
104.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(Cl)N=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(((6-chloropyridin-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(((6-chloropyridin-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,
105.0,COCCNC1=CC=C(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)C=N1,,3-acetyl-8-bromo-5-chloro-2-(((6-((2-methoxyethyl)amino)pyridin-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(((6-((2- methoxyethyl)amino)pyridin-3- yl)methyl)sulfinyl)quinolin-4(1H)-one,
106.0,CC(=O)/C1=C(\S(=O)CC2=NON=C2C)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-(((4-methyl-1,2,5-oxadiazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-(((4-methyl-1,2,5- oxadiazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one",
107.0,CC(=O)/C1=C(\S(=O)CC2=C/N=C3/NC=C/C3=C\2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"2-(((1H-pyrrolo[2,3-b]pyridin-5-yl)methyl)sulfinyl)-3-acetyl-8-bromo-5-chloroquinolin-4(1H)-one",,"2-(((1H-pyrrolo[2,3-b]pyridin-5- yl)methyl)sulfinyl)-3-acetyl-8-bromo-5- chloroquinolin-4(1H)-one",

--- Table Metadata for Table3 ---
Header Row (0-indexed in sheet): 1
Last Data Row (0-indexed in sheet): 108
Number of Data Rows (Length of Table): 107
