Unnamed_0,유방암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화 합 물 번 호,MCF7,MDA-MB-231,MDA-MB-231 -L/DOX,SK-BR-3,BT-20,HCC1395,HCC1954,JIMT-1,MDA-M B-468
65.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
66.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
67.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
68.0,> 2 μM,1.22 μM,> 2 μM,1.23 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
69.0,> 2 μM,1.37 μM,> 2 μM,1.45 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
70.0,> 2 μM,> 2 μM,> 2 μM,1.21 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
71.0,> 2 μM,> 2 μM,> 2 μM,1.55 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
72.0,> 2 μM,1.38 μM,> 2 μM,0.85 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM
73.0,> 2 μM,> 2 μM,> 2 μM,1.20 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
74.0,> 2 μM,> 2 μM,> 2 μM,1.06 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
75.0,> 2 μM,1.16 μM,> 2 μM,1.70 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM
76.0,> 2 μM,> 2 μM,> 2 μM,1.72 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
77.0,> 2 μM,> 2 μM,> 2 μM,1.44 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
78.0,> 2 μM,> 2 μM,> 2 μM,1.20 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
79.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
80.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
81.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
82.0,> 2 μM,> 2 μM,> 2 μM,1.77 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
83.0,> 2 μM,1.95 μM,> 2 μM,1.21 μM,> 2 μM,> 10 μM,1.45 μM,> 10 μM,1.76 μM
84.0,> 2 μM,1.60 μM,> 2 μM,0.76 μM,> 2 μM,> 10 μM,1.12 μM,> 10 μM,1.04 μM
85.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
86.0,1.47 μM,1.58 μM,1.11 μM,0.58 μM,> 2 μM,> 10 μM,0.50 μM,> 10 μM,0.58 μM
87.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
88.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
89.0,> 2 μM,> 2 μM,> 2 μM,1.36 μM,> 2 μM,> 10 μM,1.34 μM,> 10 μM,1.36 μM
90.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
91.0,> 2 μM,> 2 μM,> 2 μM,1.32 μM,> 2 μM,> 10 μM,1.82 μM,> 10 μM,1.32 μM
