compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
,Example 833b,"2-(bis(4-methoxybenzyl)amino)-N-((3R,4R)-4- methoxytetrahydro-2H-pyran-3-yl)-3-methyl-N-((5-(trifluoromethyl)pyridin-2-yl)methyl)quinoline-6- carboxamide",,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,534
ABKNVPNFQIFWEI-GFCCVEGCSA-N,Example 346,"7-amino-6-bromo-N-((lR)-l-(2,4- difluorophenyl)ethyl)-N-((5-(trifluoromethyl)- 2 -py ridiny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",,566/568,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,48
ACDXYRYJNXBAHB-MRXNPFEDSA-N,Example 761,(R)-2-amino-N-((6-cyclopropylpyridazin-3- yl)methyl)-3-methyl-N-(l-(pyrimidin-2- y l)ethy 1) quinoline -6-carboxamide,,440,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,178
ACNPIFIOTOXALQ-CQSZACIVSA-N,Example 429,2-amino-7-fluoro-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,,485.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,131
ADBVHMSKTNMBPJ-CQSZACIVSA-N,Example 507,2-amino-N-((2R)-l-methoxy-2-propanyl)-3- methyl-N-((5-(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,,433,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,271
ADKOKABXWJERAN-UHFFFAOYSA-N,Example 577,2-amino -N-((1- cyanocyclopropyl)methyl)-3- methyl-N-((5- (trifluoromethyl)pyridin-2- yl)methyl)quinoline-6- carboxamide,,440.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,390
AERRRTPQVSZRQK-UHFFFAOYSA-N,Example 329,2 -amino -N- ((3 -fluoro -2 -py ridiny l)methy 1) -3 - mcthyl-N-(2-mcthyl-4- (trifluoromethy l)benzy 1)-6 - quinolinecarboxamide,,483,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,31
AGSIRUUOABPXBF-UHFFFAOYSA-N,Example 615,"N-((lH-pyrrolo[2,3-b]pyridin-6- yl)methyl)-2-amino-3-methyl-N-((5 -(trifluoromethy l)pyridin-2- yl)methyl)quinoline-6- carboxamide",,491.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,430
APJDETLTHJNQLB-OAHLLOKOSA-N,Example 836,"(R)-2-amino-N-((3,4-dihydro-2H-pyrano[2,3-c]pyridin-6-yl)methyl)- 3-iodo-N-(l-(pyrimidin-2-yl)ethyl)quinoline-6-carboxamide",,567.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,538
AUWXOMWPQBFRGQ-CYBMUJFWSA-N,Example 743,"(R) -7-amino-6-bromo-5 -methyl-N-(1- (pyrimidin-2-yl)ethyl)-N-((5- (trifluoromethy l)py ridin-2 -y l)me thy 1) -1,8 - naphthyridine-3 -carboxamide",,546.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,160
