compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
,Example 67,,,,,True,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,71
,Example 124,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,128
AAFQMWHGMANNPJ-UHFFFAOYSA-N,Example 79,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,83
AAIBBNSZYUVRDE-UHFFFAOYSA-N,Example 63,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,67
ABTAFIUSRUSWRL-UHFFFAOYSA-N,Example 122,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,126
AEDVSBIYGUCSCE-UHFFFAOYSA-N,Example 50,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,54
ALUWRBHJYJUYJT-UHFFFAOYSA-N,Example 208,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,212
AMFJONKVUPIWMP-AWEZNQCLSA-N,Example 179,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,183
AOBUAGKNSUQYLN-UHFFFAOYSA-N,Example 38,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,42
AQVHLKFXCDDKAG-UHFFFAOYSA-N,Example 6,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,10
ARCSADQZZAEWCN-ZDUSSCGKSA-N,Example 171,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,175
AUCKNZJJAFIXDM-UHFFFAOYSA-N,Example 44,,,,,True,,True,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,48
AUXPWAYKTNYZPD-UHFFFAOYSA-N,Example 69,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,73
AVKVSVAOVXGGBY-HNNXBMFYSA-N,Example 92,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,96
BEBPTOIEEAIWET-UHFFFAOYSA-N,Example 18,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,22
BEGAYXQJZKHHLG-UHFFFAOYSA-N,Example 24,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,28
BFFSRIACUDREEY-UHFFFAOYSA-N,Example 55,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,59
BHWIIMSGAOVYNV-UHFFFAOYSA-N,Example 121,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,125
BKBUECLAFDJPGJ-UHFFFAOYSA-N,Example 51,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,55
BNKPEEXTXKSYKD-UHFFFAOYSA-N,Example 32,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,36
BWPGCBBNBCKHQV-UHFFFAOYSA-N,Example 215,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,219
CAPNQEWPKCFKET-UHFFFAOYSA-N,Example 66,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,70
CDQYVSUOYDHIKP-UHFFFAOYSA-N,Example 142,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,146
CHKFLPMUUMOERD-UHFFFAOYSA-N,Example 194,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,198
CPAYJNJTRKFRMR-UHFFFAOYSA-N,Example 115,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,119
CWHGZSUMLHKHDE-UHFFFAOYSA-N,Example 114,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,118
CYMCHYIPVKFJQX-UHFFFAOYSA-N,Example 185,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,189
DBXJKQLJVGCRKC-UHFFFAOYSA-N,Example 190,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,194
DCCMOFJNOHXIPO-UHFFFAOYSA-N,Example 5,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,9
DCFMVSSQOXMKHU-INIZCTEOSA-N,Example 181,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,185
DCNJISYUASOTLO-UHFFFAOYSA-N,Example 109,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,113
DFSMGCCTHNUYBQ-UHFFFAOYSA-N,Example 86,,,,,True,,True,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,90
DGQPRBPCJGWSHT-HNNXBMFYSA-N,Example 168,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,172
DLXPJOPWPRISGE-UHFFFAOYSA-N,Example 90,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,94
DPGDMQBBSZTEHR-UHFFFAOYSA-N,Example 10,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,14
DUOCTTVBRUYEII-UHFFFAOYSA-N,Example 4,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,8
DXJJRSUEWTWKRJ-UHFFFAOYSA-N,Example 71,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,75
DZHLFIJEXQUWBD-UHFFFAOYSA-N,Example 81,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,85
FERYZWTZEOGRIH-UHFFFAOYSA-N,Example 28,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,32
FIPFCBKTBITBLG-UHFFFAOYSA-N,Example 65,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,69
FLSDQIPPYNHWFO-UHFFFAOYSA-N,Example 200,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,204
FMWNQDHMOZOIIO-UHFFFAOYSA-N,Example 35,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,39
FOARZGGJJOLJDX-UHFFFAOYSA-N,Example 130,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,134
FTHAZIBWYXXYIU-UHFFFAOYSA-N,Example 127,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,131
FVDJUZKMAQKWIG-UHFFFAOYSA-N,Example 148,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,152
FVIGMOOBKYIEBA-UHFFFAOYSA-N,Example 164,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,168
FYSRIPWTQMCLND-UHFFFAOYSA-N,Example 120,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,124
FZBMABRWQYHNJM-UHFFFAOYSA-N,Example 187,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,191
GDOVTUDPBVNFQF-UHFFFAOYSA-N,Example 58,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,62
GJVPZSUKSPVZIJ-UHFFFAOYSA-N,Example 136,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,140
GPYHOTYSJRPLMJ-INIZCTEOSA-N,Example 117,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,121
GPZFXLKQXSIFRG-UHFFFAOYSA-N,Example 183,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,187
GSHQVGPGDQHVGN-UHFFFAOYSA-N,Example 154,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,158
HGYGFVLIGCWADI-UHFFFAOYSA-N,Example 43,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,47
HJXLPHGVVZZXFQ-UHFFFAOYSA-N,Example 160,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,164
HLIJEGMOHKWJKE-UHFFFAOYSA-N,Example 217,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,221
HLTXRSKLFLMGSA-UHFFFAOYSA-N,Example 105,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,109
HTFXRDSNKRQZHM-UHFFFAOYSA-N,Example 16,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,20
HUNFEDPRJFWDPF-UHFFFAOYSA-N,Example 119,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,123
HVZXKMKLAJAGBJ-UHFFFAOYSA-N,Example 103,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,107
HWTINLSEXSYKBT-UHFFFAOYSA-N,Example 206,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,210
HXGGDMPWYUDBLN-UHFFFAOYSA-N,Example 73,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,77
HXULFKPXXVZFPG-UHFFFAOYSA-N,Example 74,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,78
IAZPSCFIYNWHHY-UHFFFAOYSA-N,Example 26,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,30
IBQWRUMCUSDSSZ-UHFFFAOYSA-N,Example 162,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,166
ICNQWTQOTOSFKR-UHFFFAOYSA-N,Example 144,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,148
IDPLEONMPTUHBO-UHFFFAOYSA-N,Example 1,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,5
IIRXZRWPWANNQK-UHFFFAOYSA-N,Example 31,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,35
ILUFPKQVBKCNBG-UHFFFAOYSA-N,Example 75,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,79
IQRJGSCCIBFNOJ-UHFFFAOYSA-N,Example 153,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,157
IRZTYERNAICCKN-UHFFFAOYSA-N,Example 29,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,33
ISPOHKLXYDRZHF-UHFFFAOYSA-N,Example 163,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,167
IUZXQHLGSZGDFE-UHFFFAOYSA-N,Example 48,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,52
JBKCUYPEAHHDNG-UHFFFAOYSA-N,Example 47,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,51
JBKRWBWZDCSHSL-UHFFFAOYSA-N,Example 111,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,115
JMKKUXKKEJAVBV-UHFFFAOYSA-N,Example 61,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,65
JONIDBUADRBVHS-UHFFFAOYSA-N,Example 46,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,50
JSPJEMZJOMRSQH-UHFFFAOYSA-N,Example 213,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,217
JTEVXZDTWGYGNG-UHFFFAOYSA-N,Example 112,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,116
JVHSISVMEJUYNE-UHFFFAOYSA-N,Example 161,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,165
JXIOOJUJFYDHRE-UHFFFAOYSA-N,Example 108,,,,,False,,,2020,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,112
