compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
,,False,,
,,False,,
AAFQMWHGMANNPJ-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(CF)cc4OC)nc3)c2n1,True,,AAFQMWHGMANNPJ
AAIBBNSZYUVRDE-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC5CC5)ncnc4C4CC4)nc32)cc1,True,,AAIBBNSZYUVRDE
ABTAFIUSRUSWRL-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4N(C)C)c(F)c3)c2n1,True,,ABTAFIUSRUSWRL
AEDVSBIYGUCSCE-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)F)cc4C)cc3)c2n1,True,,AEDVSBIYGUCSCE
ALUWRBHJYJUYJT-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2nc(C(C)C)n(Cc3ccc(-c4nc(C(F)(F)F)cn4C(C)C)cc3)c2n1,True,,ALUWRBHJYJUYJT
AMFJONKVUPIWMP-AWEZNQCLSA-N,COc1ncnc(C2CC2)c1-c1ncc2c(OC)nn([C@@H](C)c3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,AMFJONKVUPIWMP
AOBUAGKNSUQYLN-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4SC)cc3)c2n1,True,,AOBUAGKNSUQYLN
AQVHLKFXCDDKAG-UHFFFAOYSA-N,COc1nccc(C)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,AQVHLKFXCDDKAG
ARCSADQZZAEWCN-ZDUSSCGKSA-N,COc1ncnc(C2CC2)c1-c1ncc2c(Br)nn([C@@H](C)c3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,ARCSADQZZAEWCN
AUCKNZJJAFIXDM-UHFFFAOYSA-N,Cc1cnn(C(C)C)c1-c1ncc2cnn(Cc3ccc(-n4nc(CF)cc4C)cc3)c2n1,True,,AUCKNZJJAFIXDM
AUXPWAYKTNYZPD-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C#N)cc4C)cc3)c2n1,True,,AUXPWAYKTNYZPD
AVKVSVAOVXGGBY-HNNXBMFYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn([C@@H](C)c3ccc(-c4nc(CF)cn4C)cc3)c2n1,True,,AVKVSVAOVXGGBY
BEBPTOIEEAIWET-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1F,True,,BEBPTOIEEAIWET
BEGAYXQJZKHHLG-UHFFFAOYSA-N,CC(C)c1ccccc1-c1ncc2cnn(C(C)c3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,BEGAYXQJZKHHLG
BFFSRIACUDREEY-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)F)nn4C)cc3)c2n1,True,,BFFSRIACUDREEY
BHWIIMSGAOVYNV-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4N(C)C)cc3)c2n1,True,,BHWIIMSGAOVYNV
BKBUECLAFDJPGJ-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,BKBUECLAFDJPGJ
BNKPEEXTXKSYKD-UHFFFAOYSA-N,Cc1cc(C(F)F)nn1-c1ccc(Cn2ncc3cnc(-c4cccnc4C(C)C)nc32)cc1,True,,BNKPEEXTXKSYKD
BWPGCBBNBCKHQV-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2nnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,BWPGCBBNBCKHQV
CAPNQEWPKCFKET-UHFFFAOYSA-N,COc1ncnc(C)c1-c1ncc2cnn(C(C)c3ccc(-n4nc(CF)cc4OC)cc3)c2n1,True,,CAPNQEWPKCFKET
CDQYVSUOYDHIKP-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4CC(C)F)cc3)c2n1,True,,CDQYVSUOYDHIKP
CHKFLPMUUMOERD-UHFFFAOYSA-N,CCn1cc(CO)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,CHKFLPMUUMOERD
CPAYJNJTRKFRMR-UHFFFAOYSA-N,COc1ncnc(C(C)C)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4C)cc3)c2n1,True,,CPAYJNJTRKFRMR
CWHGZSUMLHKHDE-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4OC4CC4)nc32)cc1,True,,CWHGZSUMLHKHDE
CYMCHYIPVKFJQX-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2c(OC)nn(Cc3ccc(-c4cn(C(C)C)c(C(F)(F)F)n4)cc3)c2n1,True,,CYMCHYIPVKFJQX
DBXJKQLJVGCRKC-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2nc(SC)c3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,DBXJKQLJVGCRKC
DCCMOFJNOHXIPO-UHFFFAOYSA-N,COc1cccc(C)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,DCCMOFJNOHXIPO
DCFMVSSQOXMKHU-INIZCTEOSA-N,COc1ncnc(C2CC2)c1-c1ncc2c(OC)nn([C@@H](C)c3ccc(-c4nc(C(F)(F)F)cn4C(C)C)cc3)c2n1,True,,DCFMVSSQOXMKHU
DCNJISYUASOTLO-UHFFFAOYSA-N,COc1ncnc(C(C)(C)C)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,DCNJISYUASOTLO
DFSMGCCTHNUYBQ-UHFFFAOYSA-N,COc1ncnc(OC)c1-c1ncc2cnn(Cc3ccc(-c4nc(CF)cn4C)cc3)c2n1,True,,DFSMGCCTHNUYBQ
DGQPRBPCJGWSHT-HNNXBMFYSA-N,COc1cc([C@H](C)n2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)ccc1-c1nc(C(F)(F)F)cn1CCF,True,,DGQPRBPCJGWSHT
DLXPJOPWPRISGE-UHFFFAOYSA-N,COc1ncnc(OC)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C(C)C)cc3)c2n1,True,,DLXPJOPWPRISGE
DPGDMQBBSZTEHR-UHFFFAOYSA-N,CC(C)c1c(F)cccc1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,DPGDMQBBSZTEHR
DUOCTTVBRUYEII-UHFFFAOYSA-N,COc1cccc(OC)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,True,,DUOCTTVBRUYEII
DXJJRSUEWTWKRJ-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4C#N)cc3)c2n1,True,,DXJJRSUEWTWKRJ
DZHLFIJEXQUWBD-UHFFFAOYSA-N,COc1cnn(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(CF)cn4C)cc3)c2n1,True,,DZHLFIJEXQUWBD
FERYZWTZEOGRIH-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1nc(OC)c2cnn(Cc3ccc(-n4nc(CF)cc4C)cc3)c2n1,True,,FERYZWTZEOGRIH
FIPFCBKTBITBLG-UHFFFAOYSA-N,COc1ncnc(C)c1-c1ncc2cnn(Cc3ccc(-n4nc(CF)cc4OC)cc3)c2n1,True,,FIPFCBKTBITBLG
FLSDQIPPYNHWFO-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-n4nc(C(F)(F)F)cc4OC4CNC4)cc3)c2n1,True,,FLSDQIPPYNHWFO
FMWNQDHMOZOIIO-UHFFFAOYSA-N,COc1cc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)ccc1-c1cn(C)c(C(F)(F)F)n1,True,,FMWNQDHMOZOIIO
FOARZGGJJOLJDX-UHFFFAOYSA-N,CCC(C)n1cc(CF)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1OC,True,,FOARZGGJJOLJDX
FTHAZIBWYXXYIU-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(CF)oc4C)cc3)c2n1,True,,FTHAZIBWYXXYIU
FVDJUZKMAQKWIG-UHFFFAOYSA-N,CCn1cc(C#N)nc1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,FVDJUZKMAQKWIG
FVIGMOOBKYIEBA-UHFFFAOYSA-N,CCn1c(-c2ccc(Cn3ncc4cnc(-c5c(OC)ncnc5C5CC5)nc43)cc2)nc(C(F)(F)F)c1OC,True,,FVIGMOOBKYIEBA
FYSRIPWTQMCLND-UHFFFAOYSA-N,CNc1cc(C(F)(F)F)nn1-c1ccc(Cn2ncc3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,FYSRIPWTQMCLND
FZBMABRWQYHNJM-UHFFFAOYSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc(Cn2nc(C)c3cnc(-c4c(OC)ncnc4C4CC4)nc32)cc1,True,,FZBMABRWQYHNJM
GDOVTUDPBVNFQF-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)nn4C(C)C)cc3)c2n1,True,,GDOVTUDPBVNFQF
GJVPZSUKSPVZIJ-UHFFFAOYSA-N,COc1ncnc(C2CC2)c1-c1ncc2cnn(Cc3ccc(-c4nc(C(F)(F)F)c5n4CCNC5)cc3)c2n1,True,,GJVPZSUKSPVZIJ
GPYHOTYSJRPLMJ-INIZCTEOSA-N,CCn1cc(C(F)(F)F)nc1-c1ccc([C@H](C)n2ncc3cnc(-c4c(OC)ncnc4C(C)C)nc32)cc1,True,,GPYHOTYSJRPLMJ
