compound_id,dataset_id,smiles_raw,smiles_canonical,inchikey
1,2017,CC(=O)/C1=C(\S(C)=O)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)=O)[nH]c2c(Br)ccc(Cl)c2c1=O,JPEKBABCIRLYLZ-UHFFFAOYSA-N
2,2017,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,CSc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,GFFLOAANRKOHTP-UHFFFAOYSA-N
3,2017,CC(=O)/C1=C(\SCC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SCc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,MHEXFMXBGSLBGQ-UHFFFAOYSA-N
4,2017,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)Cc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,NBHDQZYSCSOIIP-UHFFFAOYSA-N
5,2017,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1C,DRGOWQXNBSWIAF-UHFFFAOYSA-N
6,2017,CC(=O)/C1=C(\S(C)=O)NC2=C(Cl)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)=O)[nH]c2c(Cl)ccc(Cl)c2c1=O,SERSRDLVZGBTKV-UHFFFAOYSA-N
7,2017,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1C,CSc1c(C(C)=O)c(=O)c2cc(F)ccc2n1C,MQOOPVNFHSLPJT-UHFFFAOYSA-N
8,2017,CS/C1=C(\C(C)=O)C(=O)C2=CC(F)=CC=C2N1,CSc1[nH]c2ccc(F)cc2c(=O)c1C(C)=O,WABVMQUUKSSSHI-UHFFFAOYSA-N
9,2017,CC(=O)/C1=C(\S(C)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)=O)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,UEAAZHCXFUIEHZ-UHFFFAOYSA-N
10,2017,CC(=O)/C1=C(\SCC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SCc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,TYOAUVCFTNRTIR-UHFFFAOYSA-N
11,2017,CC(=O)/C1=C(\S(=O)CC2=CC=C(Cl)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)Cc2ccc(Cl)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,YJWGJSZPOCJWEQ-UHFFFAOYSA-N
12,2017,CC(=O)/C1=C(\SC2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(Sc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,JDNHDPJJASOQKY-UHFFFAOYSA-N
13,2017,CC(=O)/C1=C(\S(=O)C2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)c2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,LLLSOJCJQOZLRX-UHFFFAOYSA-N
14,2017,COC1=CC=CC=C1S/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,COc1ccccc1Sc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,BINHKEFTVZTUTO-UHFFFAOYSA-N
15,2017,COC1=CC=CC=C1S(=O)/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,COc1ccccc1S(=O)c1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,GQPAFIMQWXKQHW-UHFFFAOYSA-N
16,2017,CC(=O)/C1=C(\SC2=CC=C(Br)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(Sc2ccc(Br)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,YELVEPXKCUUJAY-UHFFFAOYSA-N
17,2017,CC(=O)/C1=C(\S(=O)C2=CC=C(Br)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)c2ccc(Br)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,ZJIRZMMDNCFZNT-UHFFFAOYSA-N
18,2017,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1C(C)=O,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1C(C)=O,HRJHPOAOJMPMRP-UHFFFAOYSA-N
19,2017,CC(=O)/C1=C(\S(C)=O)N(C(C)=O)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)=O)n(C(C)=O)c2c(Br)ccc(Cl)c2c1=O,KYKYAMLHRBBNLM-UHFFFAOYSA-N
20,2017,CC(=O)/C1=C(\S(=O)CC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)Cc2ccccc2)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,GZKLRDKEMAZHDO-UHFFFAOYSA-N
21,2017,CC(=O)/C1=C(\S(C)(=O)=O)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)(=O)=O)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,LROGNEVHSXJTME-UHFFFAOYSA-N
22,2017,CC(=O)/C1=C(\S(C)=O)N(CC2=CC(Cl)=C(F)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(C)=O)n(Cc2ccc(F)c(Cl)c2)c2c(Br)ccc(Cl)c2c1=O,FHWFBAFFPQZJCP-UHFFFAOYSA-N
23,2017,CC(=O)/C1=C(\SCC2=CC=CC=C2)N(C(=O)C2=CC=C(Br)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SCc2ccccc2)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,KGJPHFGTDXFDPH-UHFFFAOYSA-N
24,2017,CC(=O)/C1=C(\SC(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SC(C)C)[nH]c2c(Br)ccc(Cl)c2c1=O,WVIIGRTXOZBDFE-UHFFFAOYSA-N
25,2017,CC(=O)/C1=C(\S(=O)C(C)C)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)C(C)C)[nH]c2c(Br)ccc(Cl)c2c1=O,YWXSSNSHLNZGNS-UHFFFAOYSA-N
26,2017,CC(=O)/C1=C(\S(=O)C(C)C2=CC=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)C(C)c2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,UTAKUHZFECUQRA-UHFFFAOYSA-N
27,2017,CC(=O)/C1=C(\SCC2=CC=CC(C#N)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SCc2cccc(C#N)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,QCDYFQQAHDVPFR-UHFFFAOYSA-N
28,2017,CC(=O)/C1=C(\S(=O)CC2=CC=CC(C#N)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)Cc2cccc(C#N)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,RZSPUVOOSCYMBI-UHFFFAOYSA-N
29,2017,CC(=O)/C1=C(\S(=O)CC2=CC=C(F)C=C2F)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(S(=O)Cc2ccc(F)cc2F)[nH]c2c(Br)ccc(Cl)c2c1=O,DCYWPDFLCPAYHM-UHFFFAOYSA-N
30,2017,CC(=O)/C1=C(\SCC2=CC=C(F)C(Cl)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,CC(=O)c1c(SCc2ccc(F)c(Cl)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,LMYWHTDVBLKGFE-UHFFFAOYSA-N
