ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
600,nan,1.83,0.044,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,303
601,nan,1.78,0.038,0.82,data/bronze/artifacts/2021_raw.xlsx,Table 19,304
602,nan,7.26,0.085,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,305
603,nan,23.7,0.317,>1.5,data/bronze/artifacts/2021_raw.xlsx,Table 19,306
604,nan,5.46,0.044,0.4,data/bronze/artifacts/2021_raw.xlsx,Table 19,307
605,nan,6.2,0.145,>1.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,308
606,nan,2.9,0.027,0.28,data/bronze/artifacts/2021_raw.xlsx,Table 19,309
607,nan,7.26,0.37,>3.2,data/bronze/artifacts/2021_raw.xlsx,Table 19,310
608,nan,5.26,0.4,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,311
609,nan,26.8,0.54,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,312
610,nan,9.6,0.54,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,313
611,nan,3.-7,0.07,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,314
612,nan,7.56,0.34,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,315
613,nan,4.35,0.269,3.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,316
614,nan,9.42,0.95,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,317
615,nan,1.62,0.276,3.5,data/bronze/artifacts/2021_raw.xlsx,Table 19,318
616,nan,3.29,0.32,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,319
617,nan,1.72,0.286,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,320
618,nan,1.59,0.055,1.4,data/bronze/artifacts/2021_raw.xlsx,Table 19,321
619,nan,1.87,0.128,1.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,322
620,nan,1.83,0.1,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,323
621,nan,3.97,0.133,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,324
622,nan,1.98,0.13,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,325
623,nan,3.14,0.056,0.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,326
624,nan,5.19,0.187,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,327
625,nan,1.99,0.18,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,328
626,nan,42.7,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,329
627,nan,2.8,0.36,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,330
628,nan,3.-4,0.053,0.44,data/bronze/artifacts/2021_raw.xlsx,Table 19,331
629,nan,5.93,0.77,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,332
630,nan,4.58,0.033,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,333
631,nan,7.14,0.028,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,334
632,nan,5.3,0.34,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,335
633,nan,4.8,0.33,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,336
634,nan,6.84,0.93,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,337
635,nan,1.29,0.018,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,338
636,nan,2.3,0.89,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,339
637,nan,5.2,>1,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,340
638,nan,1.9,0.2,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,341
639,nan,12.2,0.58,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,342
640,nan,14.1,0.73,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,343
641,nan,13.1,0.92,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,344
642,nan,2.55,0.086,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,345
643,nan,39.6,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,346
644,nan,29.3,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,347
645,nan,5.93,>1,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,348
646,nan,6.83,0.85,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,349
647,nan,4.11,0.32,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,350
648,nan,1.68,0.18,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,351
649,nan,2.69,0.31,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,352
650,nan,2.21,0.37,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,353
651,nan,3.-9,0.31,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,354
652,nan,3.-7,0.16,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,355
653,nan,2.79,0.28,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,356
654,nan,5.61,0.25,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,357
655,nan,4.-9,0.55,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,358
656,nan,5.28,0.21,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,359
657,nan,5.34,0.62,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,360
658,nan,12.6,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,361
659,nan,4.33,0.251,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,362
660,nan,7.14,0.8,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,363
661,nan,1.81,0.069,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,364
662,nan,3.58,0.18,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,365
663,nan,1.7,0.037,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,366
664,nan,9.1,0.67,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,367
665,nan,9.17,0.68,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,368
666,nan,3.93,0.041,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,369
667,nan,3.9,0.024,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,370
668,nan,4.69,0.27,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,371
669,nan,8.5,0.82,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,372
670,nan,5.15,0.86,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,373
671,nan,6.82,0.18,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,374
672,nan,5.56,0.404,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,375
673,nan,5.32,0.095,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,376
674,nan,15.3,0.51,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,377
675,nan,5.-4,0.232,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,378
676,nan,3.88,0.255,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,379
677,nan,9.37,0.95,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,380
678,nan,5.57,0.5,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,381
679,nan,36.8,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,382
680,nan,1.76,0.157,7.7,data/bronze/artifacts/2021_raw.xlsx,Table 19,383
681,nan,4.87,0.24,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,384
682,nan,23,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,385
683,nan,4.29,0.297,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,386
684,nan,2.29,0.114,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,387
685,nan,1.22,0.051,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,388
686,nan,5.12,0.59,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,389
687,nan,1.56,0.11,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,390
688,nan,1.41,0.24,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,391
689,nan,2.94,0.33,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,392
690,nan,1.68,0.094,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,393
691,nan,3.51,0.52,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,394
692,nan,1-.7,>1,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,395
693,nan,6.14,0.097,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,396
694,nan,5.62,0.224,8.6,data/bronze/artifacts/2021_raw.xlsx,Table 19,397
695,nan,6.3,0.76,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,398
696,nan,2.19,0.2,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,399
697,nan,36.5,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,400
698,nan,36.4,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,401
699,nan,3.86,0.05,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,402
700,nan,38.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,403
701,nan,37.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,404
702,nan,5.12,0.046,0.56,data/bronze/artifacts/2021_raw.xlsx,Table 19,405
703,nan,5.62,0.222,2.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,406
704,nan,25.1,0.08,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,407
705,nan,9.63,0.76,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,408
706,nan,31,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Table 19,409
708,nan,2.79,0.155,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,410
709,nan,2.97,0.334,1.43,data/bronze/artifacts/2021_raw.xlsx,Table 19,411
710,nan,4.13,0.177,1.14,data/bronze/artifacts/2021_raw.xlsx,Table 19,412
711,nan,nan,0.279,9.78,data/bronze/artifacts/2021_raw.xlsx,Table 19,413
724,nan,nan,0.136,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,414
725,nan,nan,0.252,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,415
726,nan,nan,0.313,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,416
727,nan,nan,0.256,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,417
728,nan,nan,0.264,6.81,data/bronze/artifacts/2021_raw.xlsx,Table 19,418
729,nan,nan,0.114,6.902,data/bronze/artifacts/2021_raw.xlsx,Table 19,419
730,nan,nan,0.507,8.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,420
731,nan,nan,0.05,0.693,data/bronze/artifacts/2021_raw.xlsx,Table 19,421
732,nan,nan,0.231,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,422
733,nan,nan,0.434,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,423
734,nan,nan,0.994,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,424
735,nan,nan,0.22,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,425
736,nan,nan,0.151,6.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,426
737,nan,nan,0.148,6.8,data/bronze/artifacts/2021_raw.xlsx,Table 19,427
738,nan,nan,0.173,4.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,428
739,nan,nan,0.355,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,429
740,nan,nan,0.08,4.4,data/bronze/artifacts/2021_raw.xlsx,Table 19,430
741,nan,nan,0.27,8.36,data/bronze/artifacts/2021_raw.xlsx,Table 19,431
742,nan,nan,0.04,1.17,data/bronze/artifacts/2021_raw.xlsx,Table 19,432
743,nan,nan,0.054,0.694,data/bronze/artifacts/2021_raw.xlsx,Table 19,433
744,nan,nan,0.188,4.125,data/bronze/artifacts/2021_raw.xlsx,Table 19,434
745,nan,nan,0.223,1.2445,data/bronze/artifacts/2021_raw.xlsx,Table 19,435
746,nan,nan,0.139,7.26,data/bronze/artifacts/2021_raw.xlsx,Table 19,436
747,nan,nan,0.385,5.26,data/bronze/artifacts/2021_raw.xlsx,Table 19,437
748,nan,nan,0.084,2.62,data/bronze/artifacts/2021_raw.xlsx,Table 19,438
749,nan,nan,0.095,2.15,data/bronze/artifacts/2021_raw.xlsx,Table 19,439
750,nan,nan,0.177,3.145,data/bronze/artifacts/2021_raw.xlsx,Table 19,440
751,nan,nan,0.144,1.74,data/bronze/artifacts/2021_raw.xlsx,Table 19,441
752,nan,nan,0.119,1.74,data/bronze/artifacts/2021_raw.xlsx,Table 19,442
753,nan,nan,0.408,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,443
754,nan,nan,0.13,4.11,data/bronze/artifacts/2021_raw.xlsx,Table 19,444
755,nan,nan,0.184,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,445
756,nan,nan,0.228,5.95,data/bronze/artifacts/2021_raw.xlsx,Table 19,446
757,nan,nan,0.313,8.87,data/bronze/artifacts/2021_raw.xlsx,Table 19,447
758,nan,nan,0.337,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,448
759,nan,nan,0.293,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,449
760,nan,nan,0.1,2.93,data/bronze/artifacts/2021_raw.xlsx,Table 19,450
761,nan,nan,0.064,1.35,data/bronze/artifacts/2021_raw.xlsx,Table 19,451
762,nan,nan,0.18,8.795001,data/bronze/artifacts/2021_raw.xlsx,Table 19,452
763,nan,nan,0.057,4.34,data/bronze/artifacts/2021_raw.xlsx,Table 19,453
764,nan,nan,0.287,4.22,data/bronze/artifacts/2021_raw.xlsx,Table 19,454
765,nan,nan,0.18,0.51225,data/bronze/artifacts/2021_raw.xlsx,Table 19,455
766,nan,nan,0.161,5.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,456
767,nan,nan,0.056,3.546667,data/bronze/artifacts/2021_raw.xlsx,Table 19,457
768,nan,nan,0.116,3.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,458
769,nan,nan,0.052,5.01,data/bronze/artifacts/2021_raw.xlsx,Table 19,459
770,nan,nan,0.132,4.75,data/bronze/artifacts/2021_raw.xlsx,Table 19,460
771,nan,nan,0.27,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,461
772,nan,nan,0.437,17.55,data/bronze/artifacts/2021_raw.xlsx,Table 19,462
773,nan,nan,0.304,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,463
774,nan,nan,0.139,5.21,data/bronze/artifacts/2021_raw.xlsx,Table 19,464
775,nan,nan,0.05,1.68,data/bronze/artifacts/2021_raw.xlsx,Table 19,465
776,nan,nan,0.195,7.225,data/bronze/artifacts/2021_raw.xlsx,Table 19,466
777,nan,nan,0.372,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,467
778,nan,nan,0.072,2.05,data/bronze/artifacts/2021_raw.xlsx,Table 19,468
780,nan,nan,0.144,1.8,data/bronze/artifacts/2021_raw.xlsx,Table 19,469
781,nan,nan,0.26,3.395,data/bronze/artifacts/2021_raw.xlsx,Table 19,470
782,nan,nan,0.017,0.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,471
784,nan,nan,0.261,4.7,data/bronze/artifacts/2021_raw.xlsx,Table 19,472
785,nan,nan,0.123,2.605,data/bronze/artifacts/2021_raw.xlsx,Table 19,473
786,nan,nan,0.322,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,474
787,nan,nan,0.059,1.735,data/bronze/artifacts/2021_raw.xlsx,Table 19,475
788,nan,nan,0.064,1.59,data/bronze/artifacts/2021_raw.xlsx,Table 19,476
789,nan,nan,0.162,6.15,data/bronze/artifacts/2021_raw.xlsx,Table 19,477
790,nan,nan,0.156,5.16,data/bronze/artifacts/2021_raw.xlsx,Table 19,478
791,nan,nan,0.06,1.72,data/bronze/artifacts/2021_raw.xlsx,Table 19,479
792,nan,nan,0.119,3.84,data/bronze/artifacts/2021_raw.xlsx,Table 19,480
793,nan,nan,0.783,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,481
795,nan,nan,0.056,1.39,data/bronze/artifacts/2021_raw.xlsx,Table 19,482
796,nan,nan,0.308,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,483
797,nan,nan,0.229,3.82,data/bronze/artifacts/2021_raw.xlsx,Table 19,484
798,nan,nan,0.25,6.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,485
799,nan,nan,0.013,0.301,data/bronze/artifacts/2021_raw.xlsx,Table 19,486
800,nan,nan,0.173,2.79,data/bronze/artifacts/2021_raw.xlsx,Table 19,487
801,nan,nan,0.533,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,488
802,nan,nan,0.393,9.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,489
803,nan,nan,0.412,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,490
804,nan,nan,0.226,5.77,data/bronze/artifacts/2021_raw.xlsx,Table 19,491
805,nan,nan,0.144,2,data/bronze/artifacts/2021_raw.xlsx,Table 19,492
806,nan,nan,0.552,6.8,data/bronze/artifacts/2021_raw.xlsx,Table 19,493
807,nan,nan,0.075,0.764,data/bronze/artifacts/2021_raw.xlsx,Table 19,494
808,nan,nan,0.454,19.9,data/bronze/artifacts/2021_raw.xlsx,Table 19,495
809,nan,nan,0.015,0.362,data/bronze/artifacts/2021_raw.xlsx,Table 19,496
810,nan,nan,0.594,5.4,data/bronze/artifacts/2021_raw.xlsx,Table 19,497
811,nan,nan,0.422,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,498
812,nan,nan,0.043,1.04,data/bronze/artifacts/2021_raw.xlsx,Table 19,499
813,nan,nan,0.098,2.63,data/bronze/artifacts/2021_raw.xlsx,Table 19,500
814,nan,nan,0.062,1.76,data/bronze/artifacts/2021_raw.xlsx,Table 19,501
815,nan,nan,0.25,5.15,data/bronze/artifacts/2021_raw.xlsx,Table 19,502
816,nan,nan,0.018,0.368,data/bronze/artifacts/2021_raw.xlsx,Table 19,503
817,nan,nan,0.369,1.31,data/bronze/artifacts/2021_raw.xlsx,Table 19,504
818,nan,nan,0.024,0.372,data/bronze/artifacts/2021_raw.xlsx,Table 19,505
819,nan,nan,0.029,0.543,data/bronze/artifacts/2021_raw.xlsx,Table 19,506
820,nan,nan,0.239,3.55,data/bronze/artifacts/2021_raw.xlsx,Table 19,507
821,nan,nan,0.019,0.3715,data/bronze/artifacts/2021_raw.xlsx,Table 19,508
822,nan,nan,0.045,0.763,data/bronze/artifacts/2021_raw.xlsx,Table 19,509
823,nan,nan,0.041,0.695,data/bronze/artifacts/2021_raw.xlsx,Table 19,510
824,nan,nan,0.607,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,511
827,nan,nan,0.88,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,512
828,nan,nan,0.91,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,513
829,nan,nan,0.84,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,514
830,nan,nan,0.38,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,515
831,nan,nan,0.44,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,516
832,nan,nan,0.38,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,517
833,nan,nan,0.039,1.19,data/bronze/artifacts/2021_raw.xlsx,Table 19,518
834,nan,nan,0.523,3.19,data/bronze/artifacts/2021_raw.xlsx,Table 19,519
835,nan,nan,0.448,8.01,data/bronze/artifacts/2021_raw.xlsx,Table 19,520
836,nan,nan,0.129,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,521
837,nan,nan,0.042,2.17,data/bronze/artifacts/2021_raw.xlsx,Table 19,522
838,nan,nan,0.056,1.65,data/bronze/artifacts/2021_raw.xlsx,Table 19,523
839,nan,nan,0.057,1.99,data/bronze/artifacts/2021_raw.xlsx,Table 19,524
840,nan,nan,0.09,5.5,data/bronze/artifacts/2021_raw.xlsx,Table 19,525
