ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
360,0.08,nan,0.199,4.81,data/bronze/artifacts/2021_raw.xlsx,Table 19,63
361,2.1,nan,0.116,3.22,data/bronze/artifacts/2021_raw.xlsx,Table 19,64
362,0.11,nan,0.106,2.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,65
363,0.2,nan,0.326,7.16,data/bronze/artifacts/2021_raw.xlsx,Table 19,66
364,0.18,nan,0.227,6.2,data/bronze/artifacts/2021_raw.xlsx,Table 19,67
365,0.42,nan,0.391,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,68
366,0.18,nan,0.218,7.01,data/bronze/artifacts/2021_raw.xlsx,Table 19,69
367,0.41,nan,0.282,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,70
368,0.14,nan,0.411,7.66,data/bronze/artifacts/2021_raw.xlsx,Table 19,71
369,0.17,nan,0.138,3.4,data/bronze/artifacts/2021_raw.xlsx,Table 19,72
370,0.79,nan,0.194,5.62,data/bronze/artifacts/2021_raw.xlsx,Table 19,73
371,0.01,nan,0.069,1.39,data/bronze/artifacts/2021_raw.xlsx,Table 19,74
372,0.33,nan,0.124,2.41,data/bronze/artifacts/2021_raw.xlsx,Table 19,75
373,0.03,nan,0.159,1.37,data/bronze/artifacts/2021_raw.xlsx,Table 19,76
374,0.48,nan,0.341,8.57,data/bronze/artifacts/2021_raw.xlsx,Table 19,77
375,0.87,nan,0.064,2.13,data/bronze/artifacts/2021_raw.xlsx,Table 19,78
376,0.02,nan,0.062,1.51,data/bronze/artifacts/2021_raw.xlsx,Table 19,79
377,0.07,nan,0.061,2.56,data/bronze/artifacts/2021_raw.xlsx,Table 19,80
378,0.04,nan,0.34,6.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,81
379,0.89,nan,0.541,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,82
380,0.27,nan,0.079,1.67,data/bronze/artifacts/2021_raw.xlsx,Table 19,83
381,0.33,nan,0.194,8.97,data/bronze/artifacts/2021_raw.xlsx,Table 19,84
382,0.16,nan,0.278,9.68,data/bronze/artifacts/2021_raw.xlsx,Table 19,85
383,2.06,nan,0.434,5.32,data/bronze/artifacts/2021_raw.xlsx,Table 19,86
384,0.01,nan,0.177,5.1,data/bronze/artifacts/2021_raw.xlsx,Table 19,87
385,0.08,nan,0.055,1.31,data/bronze/artifacts/2021_raw.xlsx,Table 19,88
386,3.46,nan,0.241,3.83,data/bronze/artifacts/2021_raw.xlsx,Table 19,89
387,1.67,nan,0.884,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,90
388,0.15,nan,0.137,4.88,data/bronze/artifacts/2021_raw.xlsx,Table 19,91
389,0.37,nan,0.198,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,92
390,0.25,nan,0.023,0.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,93
391,0.01,nan,0.165,4.8,data/bronze/artifacts/2021_raw.xlsx,Table 19,94
392,0.5,nan,0.193,6.86,data/bronze/artifacts/2021_raw.xlsx,Table 19,95
393,0.22,nan,0.342,8.21,data/bronze/artifacts/2021_raw.xlsx,Table 19,96
