sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 73,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NN(C)C(C(F)(F)F)=N5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,77,usp1_ic50_grade,+++
Compound Structure 74,CSC1=NC=NC(C)=C1C1=N/C2=C(C=NN2CC2=CC=C(N3N=C(C(F)(F)F)C=C3C)C=C2)/C=N\1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,78,usp1_ic50_grade,+++
Compound Structure 75,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,79,usp1_ic50_grade,++
Compound Structure 76,COCCOC1=C(C2=N\C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,80,usp1_ic50_grade,++
Compound Structure 77,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OC5CCOC5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,81,usp1_ic50_grade,++
Compound Structure 78,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,82,usp1_ic50_grade,++
Compound Structure 79,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,83,usp1_ic50_grade,++
Compound Structure 8,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C(C)C)N=CC=C4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,10,usp1_ic50_grade,+++
Compound Structure 80,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)F)=NN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,84,usp1_ic50_grade,+
Compound Structure 81,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,85,usp1_ic50_grade,+
Compound Structure 82,COCCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,86,usp1_ic50_grade,+
Compound Structure 83,COC1=NC=NC(C2CC2)=C1C1=NC2=C(C=N1)/C=N\N2CC1=CC=C(C2=NN(C)C(OC)=N2)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,87,usp1_ic50_grade,+
Compound Structure 84,COCCOC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,88,usp1_ic50_grade,+
Compound Structure 85,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5CC(=O)N(C)C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,89,usp1_ic50_grade,+
Compound Structure 86,CN(C)C1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,90,usp1_ic50_grade,+
Compound Structure 87,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NN(C)C(C(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,91,usp1_ic50_grade,+
Compound Structure 88,COC1=NC(OC)=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,92,usp1_ic50_grade,+
Compound Structure 89,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(N5CCCC5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,93,usp1_ic50_grade,+
Compound Structure 9,COC1=CC=CC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,11,usp1_ic50_grade,+++
Compound Structure 90,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(N(C)C)N=CN=C4C)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,94,usp1_ic50_grade,+
Compound Structure 91,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(N5CCC5)N=CN=C4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,95,usp1_ic50_grade,+
Compound Structure 92,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C#N)N=CC=C4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,96,usp1_ic50_grade,+
Compound Structure 93,COC1=C(C2=NC=C3/N=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,97,usp1_ic50_grade,nan
Compound Structure 94,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=C(S(C)(=O)=O)C3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,100,usp1_ic50_grade,nan
Compound Structure 95,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/SC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,101,usp1_ic50_grade,+++
Compound Structure 96,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=C(SCC3=CC=C(OC)C=C3)C3=C/N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,102,usp1_ic50_grade,+++
Compound Structure 97,COC1=NN([C@@H](C)C2=CC=C(C3=NC(C(F)(F)F)=C(Br)N3C)C=C2)/C2=N\C(C3=C(OC)N=CN=C3C3CC3)=N/C=C\12,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,103,usp1_ic50_grade,+++
Compound Structure 98,[H]C1=CC2=C\N=C(C3=C(OC)N=CN=C3C3CC3)/N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,104,usp1_ic50_grade,++++
Compound Structure 99,COCC1=NC2=C/N=C(C3=C(OC)N=CN=C3C3CC3)\N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,105,usp1_ic50_grade,+++
nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,28,usp1_ic50_grade,nan
nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,98,usp1_ic50_grade,nan
