sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 118,COC1=C(C2=NC=C3/N=C(/C4CCC4)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,124,usp1_ic50_grade,+++
Compound Structure 119,COC1=C(C2=N/C=C3/N=C(C(C)C)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,125,usp1_ic50_grade,++
Compound Structure 12,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,14,usp1_ic50_grade,+++
Compound Structure 120,CCC1=NC2=C/N=C(C3=C(OC)N=CN=C3C3CC3)\N=C\2N1CC1=CC=C(N2N=C(C(F)(F)F)C=C2C)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,126,usp1_ic50_grade,+++
Compound Structure 121,COC1=C(C2=N/C=C3/C=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,127,usp1_ic50_grade,+++
Compound Structure 122,COC1=C(C2=N/C=C3/N=C(C)N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,128,usp1_ic50_grade,+++
Compound Structure 123,COC1=C(C2=N/C=C3/N=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,129,usp1_ic50_grade,+++
Compound Structure 124,COC1=C(C2=N/C=C3\N=CN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,130,usp1_ic50_grade,+
Compound Structure 125,COC1=C(C2=N/C=C3/N=CN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,131,usp1_ic50_grade,++
Compound Structure 126,COC1=C(C2=N/C=C3/N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,132,usp1_ic50_grade,++
