compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
ASSSZANRALNQHT-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(C#N)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,"4-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",ASSSZANRALNQHT
BBLGCYWBUZRVIX-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(S(F)(F)(F)(F)F)cc2)[nH]c2c(F)ccc(F)c2c1=O,True,"3-acetyl-5,8-difluoro-2-((4-(pentafluoro--sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one",BBLGCYWBUZRVIX
BINHKEFTVZTUTO-UHFFFAOYSA-N,COc1ccccc1Sc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,True,3-acetyl-8-bromo-5-chloro-2-((2-methoxyphenyl)thio)quinolin-4(1H)-one,BINHKEFTVZTUTO
BOLDKZWKAKIXMG-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc([N+](=O)[O-])cc2)[nH]c2c(Cl)ccc(Cl)c2c1=O,True,"3-acetyl-5,8-dichloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one",BOLDKZWKAKIXMG
BWVWSOUYXQNDBX-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(C(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((4-(trifluoromethyl)benzyl)sulfinyl)quinolin-4(1H)-one,BWVWSOUYXQNDBX
CIWAJLYOUVBDEU-UHFFFAOYSA-N,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1S(=O)(=O)c1ccc(Cl)cc1,True,3-acetyl-8-bromo-5-chloro-1-((4-chlorophenyl)sulfonyl)-2-(methylthio)quinolin-4(1H)-one,CIWAJLYOUVBDEU
CTEOUZBDCZOBKU-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2c(F)cccc2Cl)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((2-chloro-6-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,CTEOUZBDCZOBKU
CYXYHIGQABVCPX-UHFFFAOYSA-N,CCS(=O)(=O)n1c(S(C)=O)c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c21,True,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2-(methylsulfinyl)quinolin-4(1H)-one,CYXYHIGQABVCPX
DCYWPDFLCPAYHM-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(F)cc2F)[nH]c2c(Br)ccc(Cl)c2c1=O,True,"3-acetyl-8-bromo-5-chloro-2-((2,4-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",DCYWPDFLCPAYHM
DHSRMQGZOAVOBF-UHFFFAOYSA-N,CC(=O)c1c(SCC#N)[nH]c2c(Br)ccc(Cl)c2c1=O,True,"2-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)thio)acetonitrile",DHSRMQGZOAVOBF
DQTZLUUAWRGOLC-UHFFFAOYSA-N,CC(=O)c1c(SCc2ccc([N+](=O)[O-])cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)thio)quinolin-4(1H)-one,DQTZLUUAWRGOLC
DRGOWQXNBSWIAF-UHFFFAOYSA-N,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1C,True,3-acetyl-8-bromo-5-chloro-1-methyl-2-(methylthio)quinolin-4(1H)-one,DRGOWQXNBSWIAF
DTGVOHJZFXQABK-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2cccnc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((pyridin-3-ylmethyl)sulfinyl)quinolin-4(1H)-one,DTGVOHJZFXQABK
DVBKACZOXGEGRY-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(S(F)(F)(F)(F)F)cc2F)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((2-fluoro-4-(pentafluoro-l6-sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,DVBKACZOXGEGRY
FDZNKSRHZNKZNR-UHFFFAOYSA-N,CC(=O)c1c(S(C)=O)n(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,FDZNKSRHZNKZNR
FHWFBAFFPQZJCP-UHFFFAOYSA-N,CC(=O)c1c(S(C)=O)n(Cc2ccc(F)c(Cl)c2)c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4-fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,FHWFBAFFPQZJCP
FIVQXTDPWKMJAM-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc([N+](=O)[O-])cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one,FIVQXTDPWKMJAM
FJJRMRVVRIWOLC-UHFFFAOYSA-N,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1S(=O)(=O)c1ccc(C(C)(C)C)cc1,True,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylthio)quinolin-4(1H)-one,FJJRMRVVRIWOLC
FKWDYGCLIDHREE-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2ccc(NS(C)(=O)=O)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,"N-(4-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)phenyl)methanesulfonamide",FKWDYGCLIDHREE
FKYIYEQDUCUDGO-UHFFFAOYSA-N,CC(=O)c1c(S(=O)Cc2cc(C)on2)[nH]c2c(Br)ccc(Cl)c2c1=O,True,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,FKYIYEQDUCUDGO
