compound_id,smiles_raw,dataset_id,provenance_file,provenance_sheet,provenance_row
1,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,1
2,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,2
3,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,3
4,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,4
5,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,5
6,FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,6
7,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,7
8,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,8
9,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,9
10,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,10
11,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,11
12,FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,2018,raw/2018_WO2018172250_raw.xlsx,Sheet1,12
