compound_id,dataset_id,smiles_raw,smiles_canonical,inchikey
1,2018,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12,COc1cc2nc(C)nc(N[C@H](C)c3cccc4ccccc34)c2cc1OC,JHVIFTSYKUQOKT-CQSZACIVSA-N
2,2018,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,COc1cc2nc(C)nc(N[C@H](C)c3cccc(Cl)c3)c2cc1OC,ZJNKIELOCUQXBL-LLVKDONJSA-N
3,2018,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,COC(=O)c1cc2c(C(C)Nc3nc(C)nc4cc(OC)c(OC)cc34)cccc2s1,SBPJQYVFVDZYPE-UHFFFAOYSA-N
4,2018,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,COc1cc2nc(C)nc(NC(C)c3cccc4ccoc34)c2cc1OC,LEESUXLARQUBHF-UHFFFAOYSA-N
5,2018,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,COc1cc2nc(C)nc(NC(C)c3ccc(F)c4[nH]ncc34)c2cc1OC,PEPMYYQBTWVBCA-UHFFFAOYSA-N
6,2018,FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,COc1cc2nc(C)nc(NC(C)c3cc(F)cc4[nH]ncc34)c2cc1OC,HAINANKXWNOEHU-UHFFFAOYSA-N
7,2018,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,COc1cc2nc(C)nc(NC(C)c3c(C)ccc4[nH]ncc34)c2cc1OC,ZCXCGTCKSRJETK-UHFFFAOYSA-N
8,2018,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,COc1cc2nc(C)nc(NC(C)c3cccc4cn(C)nc34)c2cc1OC,YQNXRAVZFJTHLC-UHFFFAOYSA-N
9,2018,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,COc1cc2nc(C)nc(NC(C)c3cccc4nn(C)cc34)c2cc1OC,IGPIZNWVIRFBSW-UHFFFAOYSA-N
10,2018,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,COc1cc2nc(C)nc(NC(C)c3cccc4cnn(C)c34)c2cc1OC,WHTRBPGUCZPNGG-UHFFFAOYSA-N
