Compd.,Cytotoxicity (uM),Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
,MBT-2,KU19-19,UM-UC-3,253J,RT4,,,,
KSI-3716,1.18,0.82,0.82,0.98,1.25,,,,
화합물 56,1.18,0.9,1.25,1.11,> 10,,,,
화합물 99,0.47,1.12,0.77,0.8,> 10,,,,

--- Table Metadata for Table14 ---
Header Row (0-indexed in sheet): 1000
Last Data Row (0-indexed in sheet): 1004
Number of Data Rows (Length of Table): 4
