compound_id,smiles_raw,dataset_id,provenance_file,provenance_sheet,provenance_row
37,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(Cl)C=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,37
38,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(N(O)=O)C=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,38
39,CCS(=O)(=O)N1C2=C(Br)C=CC(Cl)=C2C(=O)/C(C(C)=O)=C\1S(C)=O,2017,raw/2017_1020170094694_raw.xlsx,표3,39
40,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,40
41,CC(=O)/C1=C(\S(C)(=O)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,41
42,CC(=O)/C1=C(\S(C)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,42
43,CC(=O)/C1=C(\SCC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,43
44,CC(=O)/C1=C(\S(=O)CC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,44
45,CC(=O)/C1=C(\SCC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,45
46,CC(=O)/C1=C(\S(=O)CC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,46
47,CC(=O)/C1=C(\SCC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,47
48,CC(=O)/C1=C(\S(=O)CC2=CC=CC(I)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,48
49,CC(=O)/C1=C(\SCC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,49
50,CC(=O)/C1=C(\S(=O)CC2=CC=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,50
51,CC(=O)/C1=C(\S(=O)CC2=NOC(C)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,51
52,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1SCC1=CC=CC=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,52
53,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)CC1=CC=CC=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,53
54,CC(=O)C1=C(\O)C2=C(Cl)C=CC(Br)=C2/N=C\1S(=O)(=O)CC1=CC=CC=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,54
55,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,55
56,CC(=O)/C1=C(\S(=O)CC2=CC=C(SC(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,56
57,CC(=O)/C1=C(\S(=O)CC2=CC=C(N(O)=O)C=C2)NC2=C(Cl)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,57
