ex_no,provenance_file,provenance_sheet,provenance_row,variable,value
315,data/bronze/artifacts/2021_raw.xlsx,Table 19,18,ic50_wt_uM,4.34
316,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,ki_a_nM,1.03
316,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,ki_b_nM,nan
316,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,ic50_null_uM,0.534
316,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,ic50_wt_uM,10.35
317,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,ki_a_nM,0.56
317,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,ki_b_nM,nan
317,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,ic50_null_uM,0.612
317,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,ic50_wt_uM,>10
318,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,ki_a_nM,1.91
318,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,ki_b_nM,nan
318,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,ic50_null_uM,0.952
318,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,ic50_wt_uM,>10
319,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,ki_a_nM,nan
319,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,ki_b_nM,nan
319,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,ic50_null_uM,0.168
319,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,ic50_wt_uM,4.23
320,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,ki_a_nM,0.28
320,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,ki_b_nM,nan
320,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,ic50_null_uM,0.079
320,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,ic50_wt_uM,3.48
321,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,ki_a_nM,0.15
321,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,ki_b_nM,nan
321,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,ic50_null_uM,0.288
321,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,ic50_wt_uM,>10
322,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,ki_a_nM,1.09
322,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,ki_b_nM,nan
322,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,ic50_null_uM,0.385
322,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,ic50_wt_uM,>10
323,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,ki_a_nM,0.36
323,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,ki_b_nM,nan
323,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,ic50_null_uM,0.159
323,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,ic50_wt_uM,5.01
324,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,ki_a_nM,2
324,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,ki_b_nM,nan
324,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,ic50_null_uM,0.849
324,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,ic50_wt_uM,>10
325,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,ki_a_nM,2.76
325,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,ki_b_nM,nan
325,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,ic50_null_uM,0.679
325,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,ic50_wt_uM,6.18
326,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,ki_a_nM,0.16
326,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,ki_b_nM,nan
326,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,ic50_null_uM,0.125
326,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,ic50_wt_uM,4.32
327,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,ki_a_nM,0.35
327,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,ki_b_nM,nan
327,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,ic50_null_uM,0.304
327,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,ic50_wt_uM,8.64
328,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,ki_a_nM,0.41
328,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,ki_b_nM,nan
328,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,ic50_null_uM,0.178
328,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,ic50_wt_uM,4.64
329,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,ki_a_nM,0.13
329,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,ki_b_nM,nan
329,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,ic50_null_uM,0.128
329,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,ic50_wt_uM,3.9
330,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,ki_a_nM,1.87
330,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,ki_b_nM,nan
330,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,ic50_null_uM,0.628
330,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,ic50_wt_uM,8.57
331,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,ki_a_nM,0.13
331,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,ki_b_nM,nan
331,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,ic50_null_uM,0.49
331,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,ic50_wt_uM,>10
332,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,ki_a_nM,4.87
332,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,ki_b_nM,nan
332,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,ic50_null_uM,0.479
332,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,ic50_wt_uM,5.14
333,data/bronze/artifacts/2021_raw.xlsx,Table 19,36,ki_a_nM,0.002
333,data/bronze/artifacts/2021_raw.xlsx,Table 19,36,ki_b_nM,nan
333,data/bronze/artifacts/2021_raw.xlsx,Table 19,36,ic50_null_uM,0.027
333,data/bronze/artifacts/2021_raw.xlsx,Table 19,36,ic50_wt_uM,0.72
334,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,ki_a_nM,0.34
334,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,ki_b_nM,nan
334,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,ic50_null_uM,0.434
334,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,ic50_wt_uM,>10
335,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,ki_a_nM,0.73
335,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,ki_b_nM,nan
335,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,ic50_null_uM,0.727
335,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,ic50_wt_uM,>10
336,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,ki_a_nM,0.47
336,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,ki_b_nM,nan
336,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,ic50_null_uM,0.4
336,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,ic50_wt_uM,>10
337,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,ki_a_nM,0.39
337,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,ki_b_nM,nan
337,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,ic50_null_uM,0.434
337,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,ic50_wt_uM,>10
338,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,ki_a_nM,0.8
338,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,ki_b_nM,nan
338,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,ic50_null_uM,0.232
