compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
,,False,"N-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-5-fluorobenzyl]-N&lt;sup&gt;2&lt;/sup&gt;-(2,2,2-trifluoroethyl)glycinamide",
,,False,"{1-[(2S)-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)benzyl]azetidin-2-yl}methanol",
AARZNBXCUFNKJF-MZVUKIKXSA-N,CC[C@@H](O)c1ccccc1-c1ccc(C(C)Nc2nc(C)nc3cc(OC)c(OC)cc23)s1,True,"(1R)-1-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]propan-1-ol",AARZNBXCUFNKJF
AAZDURVNHUCDRY-UHFFFAOYSA-N,Cc1nc(NC(C)c2ccc(-c3ccccc3CN(C)C)s2)c2cc(N3CCN(C)C(=O)C3)ccc2n1,True,4-(4-{[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]amino}-2-methylquinazolin-6-yl)-1-methylpiperazin-2-one,AAZDURVNHUCDRY
AEDGGRSEZDBEDU-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(=O)[nH]c3)c2cc1OC,True,"5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}pyridin-2(1H)-one",AEDGGRSEZDBEDU
AFJZRMKVDOBRBP-MRXNPFEDSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cc(N)ccc4C)c3)c2cc1OC,True,"N-[(1R)-1-(5'-amino-2'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",AFJZRMKVDOBRBP
AIGVWRJNGGUAPZ-MRXNPFEDSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4ccc5cc[nH]c5c4)c3)c2cc1OC,True,"N-{(1R)-1-[3-(1H-indol-6-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",AIGVWRJNGGUAPZ
AIVWCXWSYALXAZ-BNOPAZPUSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(/C=C/Cc4ccccc4)c3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-3-phenylprop-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",AIVWCXWSYALXAZ
AJMYRZFCPXBHRG-UGNFMNBCSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN[C@H]4CCN(C)C4=O)s3)c2cc1OC,True,"(3S)-{[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)benzyl]amino}-1-methylpyrrolidin-2-one",AJMYRZFCPXBHRG
AJVFPAICTPRPQV-OAHLLOKOSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC(C)C,True,7-methoxy-2-methyl-6-(propan-2-yloxy)-N-{(1R)-1-[3-(1H-pyrazol-4-yl)phenyl]ethyl}quinazolin-4-amine,AJVFPAICTPRPQV
ANXAWDYWQCJAPY-UHFFFAOYSA-N,COc1ccc(-c2ccc(C(C)Nc3nc(C)nc4cc(OC)c(OC)cc34)s2)c(C)c1,True,"6,7-dimethoxy-N-{1-[5-(4-methoxy-2-methylphenyl)thiophen-2-yl]ethyl}-2-methylquinazolin-4-amine",ANXAWDYWQCJAPY
ANZMPQUEPVBXQF-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc4c(c3)CCO4)c2cc1OC,True,"N-[1-(2,3-dihydro-1-benzofuran-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ANZMPQUEPVBXQF
APBUMYPWCLYRIZ-SOFGYWHQSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4cccc(/C=C/C#N)c4)s3)c2cc1OC,True,"(2E)-3-[3-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]prop-2-enenitrile",APBUMYPWCLYRIZ
APLRVUNVGHUEPC-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CNc4ccccn4)s3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-[1-(5-{2-[(pyridin-2-ylamino)methyl]phenyl}thiophen-2-yl)ethyl]quinazolin-4-amine",APLRVUNVGHUEPC
APXOGZSGAWPGBJ-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN4CCC(F)(F)C4)s3)c2cc1OC,True,"N-[1-(5-{2-[(3,3-difluoropyrrolidin-1-yl)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",APXOGZSGAWPGBJ
ARDAQGRNHSXGQD-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(F)cc4CNCc4nccn4C)s3)c2cc1OC,True,"N-[1-{5-[4-fluoro-2-({[(1-methyl-1H-imidazol-2-yl)methyl]amino}methyl)phenyl]thiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ARDAQGRNHSXGQD
ARXXCNPGCLMVPI-GFCCVEGCSA-N,COc1cc2c(N[C@H](C)c3cccc(Cl)c3)nc(C)nc2cc1C,True,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6-methoxy-2,7-dimethylquinazolin-4-amine",ARXXCNPGCLMVPI
ASBIYJVVNDLIJE-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(F)cc4CNC(=O)c4cc5ccccc5[nH]4)s3)c2cc1OC,True,"N-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-5-fluorobenzyl]-1H-indole-2-carboxamide",ASBIYJVVNDLIJE
ASZTUONHYWLDEQ-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CNCC(=O)c4c[nH]c5ccccc45)s3)c2cc1OC,True,"2-{[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)benzyl]amino}-1-(1H-indol-3-yl)ethanone",ASZTUONHYWLDEQ
AUCMSDUCPLZLIV-MRXNPFEDSA-N,CCCCOc1cc2c(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)nc(C)nc2cc1OC,True,6-butoxy-7-methoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrazol-4-yl)phenyl]ethyl}quinazolin-4-amine,AUCMSDUCPLZLIV
AWXNSGAEWULFPU-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(CN)o4)s3)c2cc1OC,True,"N-[1-{5-[5-(aminomethyl)furan-2-yl]thiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",AWXNSGAEWULFPU
BBBHENWZGQIGTH-XLDIYJRPSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(F)cc4CNC(=O)[C@@H]4CCCN4)s3)c2cc1OC,True,"N-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-5-fluorobenzyl]-L-prolinamide",BBBHENWZGQIGTH
BBBHENWZGQIGTH-XLDIYJRPSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(F)cc4CNC(=O)[C@@H]4CCCN4)s3)c2cc1OC,True,"N-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-5-fluorobenzyl]-prolinamide",BBBHENWZGQIGTH
BGSCFKBKIQRJPV-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CCN)s3)c2cc1OC,True,"N-[1-{5-[2-(2-aminoethyl)phenyl]thiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BGSCFKBKIQRJPV
BHVNCDCVUPFLBK-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(C)cc4[nH]ncc34)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",BHVNCDCVUPFLBK
BLAPJKPJOLGPEX-UHFFFAOYSA-N,COc1ccc(-c2ccc(C(C)Nc3nc(C)nc4cc(OC)c(OC)cc34)s2)c(CN(C)C)c1,True,"N-[1-(5-{2-[(dimethylamino)methyl]-4-methoxyphenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BLAPJKPJOLGPEX
BMDHXIFMXKGGHV-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(C)c(-c4ccccc4CN(C)CCO)s3)c2cc1OC,True,"2-((2-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-3-methyl-2-thienyl)benzyl](methyl)amino}ethanol",BMDHXIFMXKGGHV
BMWAMTKFLARMNA-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(NC(=O)OC(C)(C)C)cc4)s3)c2cc1OC,True,"tert-butyl[4-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]carbamate",BMWAMTKFLARMNA
BNDZVJZGMPPJAU-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(-c4ccn(CCO)n4)cs3)c2cc1OC,True,"2-[3-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-3-yl)-1H-pyrazol-1-yl]ethanol",BNDZVJZGMPPJAU
BODWKDUISAXKFR-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4cnn(C5CCCC5)c4)s3)c2cc1OC,True,"N-{1-[5-(1-cyclopentyl-1H-pyrazol-4-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",BODWKDUISAXKFR
BOFLRMNYERXCEJ-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4cc(Cl)ccc4CN)s3)c2cc1OC,True,"N-[1-{5-[2-(aminomethyl)-5-chlorophenyl]thiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BOFLRMNYERXCEJ
BOLLZVBPZRROEI-GOSISDBHSA-N,CCCCOc1cccc(F)c1-c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,True,"N-[(1R)-1-(2'-butoxy-6'-fluorobiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BOLLZVBPZRROEI
BOMXERNAUVRWAX-MRXNPFEDSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cccc5[nH]ccc45)c3)c2cc1OC,True,"N-{(1R)-1-[3-(1H-indol-4-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",BOMXERNAUVRWAX
BOTBOIAYHDQQLH-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CNC4CC4)s3)c2cc1OC,True,"N-[1-(5-{2-[(cyclopropylamino)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BOTBOIAYHDQQLH
BPNBGNBMKNVQIA-UHFFFAOYSA-N,Cc1nc(NC(C)c2ccc(-c3ccccc3CN(C)C)s2)c2cc(N3CCN(Cc4cccnc4)CC3)ccc2n1,True,N-[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]-2-methyl-6-[4-(pyridin-3-ylmethyl)piperazin-1-yl]quinazolin-4-amine,BPNBGNBMKNVQIA
BPRHWEFRWQTBGT-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4cccc(CCO)c4)s3)c2cc1OC,True,"2-(3-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]ethanol",BPRHWEFRWQTBGT
BQJFRTSSVRRPEG-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3sc(-c4ccccc4CN)cc3Cl)c2cc1OC,True,"N-[1-{5-[2-(aminomethyl)phenyl]-3-chlorothiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BQJFRTSSVRRPEG
BRXLQKCRTIZSRJ-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(C)cc4CN(C)C)s3)c2cc1OC,True,"N-[1-(5-{2-[(dimethylamino)methyl]-4-methylphenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BRXLQKCRTIZSRJ
BUQMCFACIJNXPZ-OAHLLOKOSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4c(F)ccc(C)c4Cl)c3)c2cc1OC,True,"N-[(1R)-1-(2'-chloro-6'-fluoro-3'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BUQMCFACIJNXPZ
BURYFNGXRDKUQV-QGZVFWFLSA-N,CNCc1ccccc1-c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,True,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{2'-[(methylamino)methyl]biphenyl-3-yl}ethyl]quinazolin-4-amine",BURYFNGXRDKUQV
BWHOCTRKNNZHCJ-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(Br)s3)c2cc1OC,True,"N-[1-(5-bromothiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BWHOCTRKNNZHCJ
BWPKRVMVVDSBEM-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4S(C)(=O)=O)s3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-[1-{5-[2-(methylsulfonyl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",BWPKRVMVVDSBEM
BYPZPHDCILKHFB-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(Cl)c(-c4ccccc4CN)s3)c2cc1OC,True,"N-[1-{5-[2-(aminomethyl)phenyl]-4-chlorothiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",BYPZPHDCILKHFB
BZPGKKHBBMGITH-LLVKDONJSA-N,Cc1nc(N[C@H](C)c2cccc(Cl)c2)c2cc(CO)ccc2n1,True,(4-{[(1R)-1-(3-chlorophenyl)ethyl]amino}-2-methylquinazolin-6-yl)methanol,BZPGKKHBBMGITH
CBWIMNBDIURUCP-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3csc(Br)c3)c2cc1OC,True,"N-[1-(5-bromothiophen-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",CBWIMNBDIURUCP
CCCVRVOFJHCCMF-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(-c4ccc(F)cc4CN)cs3)c2cc1OC,True,"N-[1-{4-[2-(aminomethyl)-4-fluorophenyl]thiophen-2-yl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",CCCVRVOFJHCCMF
CCTJYSYEPWTDMP-LJQANCHMSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4ccc(N5CCOCC5)cc4)c3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",CCTJYSYEPWTDMP
CDHFCNLIGARGMT-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN(C)CC(F)F)s3)c2cc1OC,True,"N-{1-[5-(2-{[(2,2-difluoroethyl)(methyl)amino]methyl}phenyl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",CDHFCNLIGARGMT
CFFOTSBNWOOUMJ-MRXNPFEDSA-N,COc1ccc2oc(-c3cccc([C@@H](C)Nc4nc(C)nc5cc(OC)c(OC)cc45)c3)cc2c1,True,"6,7-dimethoxy-N-{(1R)-1-[3-(5-methoxy-1-benzofuran-2-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",CFFOTSBNWOOUMJ
CFVGNRUJBFOSMO-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(C4=CCCC4)s3)c2cc1OC,True,"N-{1-[5-(cyclopent-1-en-1-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",CFVGNRUJBFOSMO
CGWHURQEIBFAMK-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc4nsnc4c3)c2cc1OC,True,"N-[1-(2,1,3-benzothiadiazol-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",CGWHURQEIBFAMK
CKDDCNOUNUELJU-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN4CCOCC4)s3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-[1-{5-[2-(morpholin-4-ylmethyl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",CKDDCNOUNUELJU
CKPGDLCSPTZCQX-XAVKZTDYSA-N,CCC/C=C/c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,True,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-pent-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",CKPGDLCSPTZCQX
CMZGTDNIYJYLQD-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4C(O)Cc4ccccc4)s3)c2cc1OC,True,"1-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]-2-phenylethanol",CMZGTDNIYJYLQD
COBXLMMZRBFLIO-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3cc(Br)cs3)c2cc1OC,True,"N-[1-(4-bromothiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",COBXLMMZRBFLIO
COWLWQGIJDXRRN-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CC(N)=O)s3)c2cc1OC,True,"2-(2-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]acetamide",COWLWQGIJDXRRN
CPGFRRPCKHJJSB-MRXNPFEDSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4ccc(-c5nnc(C)o5)cc4)c3)c2cc1OC,True,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",CPGFRRPCKHJJSB
CRIMLWLSVMDRMT-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(O)nc4)s3)c2cc1OC,True,"5-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)pyridin-2-ol",CRIMLWLSVMDRMT
CUKYQSRLQNDHGX-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccc(C(C)(C)C#N)cc4)s3)c2cc1OC,True,"2-[4-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]-2-methylpropanenitrile",CUKYQSRLQNDHGX
CUQWVEQERGJNFA-UHFFFAOYSA-N,COc1cc(F)cc(-c2ccc(C(C)Nc3nc(C)nc4cc(OC)c(OC)cc34)s2)c1,True,"N-{1-[5-(3-fluoro-5-methoxyphenyl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",CUQWVEQERGJNFA
CUWDPTRKIBLCRA-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN(C)C)s3)c2cc1OC,True,"N-[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",CUWDPTRKIBLCRA
CUWDPTRKIBLCRA-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN(C)C)s3)c2cc1OC,True,"N-[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine,enantiomer1",CUWDPTRKIBLCRA
CUWDPTRKIBLCRA-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CN(C)C)s3)c2cc1OC,True,"N-[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine,enantiomer2",CUWDPTRKIBLCRA
CVMWGEBXRDOUDV-CQSZACIVSA-N,COc1ncc(-c2cccc([C@@H](C)Nc3nc(C)nc4cc(OC)c(OC)cc34)c2)cn1,True,"6,7-dimethoxy-N-{(1R)-1-[3-(2-methoxypyrimidin-5-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",CVMWGEBXRDOUDV
CYGAWTWZIVKBSZ-QGZVFWFLSA-N,COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4ccccc4C(=O)N(C)C)c3)c2cc1OC,True,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N,N-dimethylbiphenyl-2-carboxamide",CYGAWTWZIVKBSZ
CZUWIJPTIMWJEC-UHFFFAOYSA-N,COc1cc2nc(C)nc(NC(C)c3ccc(-c4ccccc4CNCc4ccccc4)s3)c2cc1OC,True,"N-[1-(5-(2-[(benzylamino)methyl]phenyl}thiophen-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",CZUWIJPTIMWJEC
