compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
,295,"N-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-5-fluorobenzyl]-N&lt;sup&gt;2&lt;/sup&gt;-(2,2,2-trifluoroethyl)glycinamide",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,296
,318,"{1-[(2S)-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)benzyl]azetidin-2-yl}methanol",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,319
AARZNBXCUFNKJF-MZVUKIKXSA-N,349,"(1R)-1-[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)phenyl]propan-1-ol",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,350
AAZDURVNHUCDRY-UHFFFAOYSA-N,435,4-(4-{[1-(5-{2-[(dimethylamino)methyl]phenyl}thiophen-2-yl)ethyl]amino}-2-methylquinazolin-6-yl)-1-methylpiperazin-2-one,,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,436
AEDGGRSEZDBEDU-UHFFFAOYSA-N,227,"5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}pyridin-2(1H)-one",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,228
AFJZRMKVDOBRBP-MRXNPFEDSA-N,36,"N-[(1R)-1-(5'-amino-2'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,37
AIGVWRJNGGUAPZ-MRXNPFEDSA-N,109,"N-{(1R)-1-[3-(1H-indol-6-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,110
AIVWCXWSYALXAZ-BNOPAZPUSA-N,78,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-3-phenylprop-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,79
AJMYRZFCPXBHRG-UGNFMNBCSA-N,309,"(3S)-{[2-(5-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)benzyl]amino}-1-methylpyrrolidin-2-one",,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,310
AJVFPAICTPRPQV-OAHLLOKOSA-N,353,7-methoxy-2-methyl-6-(propan-2-yloxy)-N-{(1R)-1-[3-(1H-pyrazol-4-yl)phenyl]ethyl}quinazolin-4-amine,,,,,,,2018,data/bronze/artifacts/2018_raw.xlsx,Sheet1,354
